season,month,year,alpha,beta,gamma,mean,median,variance,prob_btw_5_to_21
winter,12,2013,8.963655582992935,1.6667278340079053,0.9989999999999932,9.00814162144663,8.19322377817468,24.378187077363055,0.7483826035803909
winter,1,2013,8.555440871242363,1.7507276261368625,0.1395208404154929,7.758965200156154,7.078943144528721,20.176377663930097,0.6810650137530789
winter,2,2013,8.741693672457611,2.229438268253832,0.0,7.7423161321525,7.416497969114196,13.475997476704856,0.749054340100219
spring,3,2013,9.248026959274336,1.8566903494985838,0.36719655052825795,8.580248374080224,7.958543334904116,21.076017542433,0.7461573193887976
spring,4,2013,10.313588267581993,1.7465936526004155,0.31835962144683644,9.504865549697357,8.679692600248734,29.455120318690312,0.7431210154942246
spring,5,2013,9.321581098227027,2.2366674604117573,0.0,8.256070039696393,7.912680750700986,15.235075550661742,0.778011739825842
summer,6,2013,8.453802919672682,2.1361541948381717,0.0,7.486867559810614,7.120944204776567,13.605902121071555,0.7211153440284255
summer,7,2013,6.896857440279611,1.9093403357701335,0.0,6.119078752572038,5.692263576930535,11.123004972874945,0.581861407590032
summer,8,2013,7.065991987036724,1.71172851029016,0.9989999999999853,7.300692531325271,6.7030406520555825,14.377486438340345,0.6827647608918623
autumn,9,2013,6.902571737258627,1.5619992314876687,0.9989999999999999,7.202144614876527,6.457917921360819,16.465710305036836,0.6475543094597537
autumn,10,2013,7.382447829532758,1.8644065335316746,0.9989999999999988,7.554218520994645,7.0639181026161815,13.325973296508282,0.7251179128431011
autumn,11,2013,6.562591095354387,1.4863535534548478,0.5156145483406637,6.446647822075205,5.644047884538027,16.49226694153206,0.5623844918923055
winter,12,2014,8.097854564395584,1.4238850627899389,0.9989999999999999,8.360575948054697,7.259097204746441,27.508630061059762,0.6665089525697083
winter,1,2014,7.405634503965966,1.5115064604280544,0.9989999999999999,7.678307551482159,6.810038247261402,20.279073183269226,0.6629220506695184
winter,2,2014,10.019830088291634,2.146267380717505,0.0,8.873672557664515,8.446891825843469,18.9518333786486,0.7910793484731955
spring,3,2014,8.437304030481405,1.73012686373489,0.907350230550859,8.42689948209343,7.7339122696361375,20.07770387586564,0.7399951938249931
spring,4,2014,6.2191745165248085,1.5724450038945037,0.9989999999996054,6.584235116993082,5.925123905059693,13.186556923732175,0.6047866280322667
spring,5,2014,7.176504431375643,1.7106568908241662,0.3690445480101258,6.769559495182363,6.161519654162433,14.848852257349296,0.6210654368283834
summer,6,2014,5.944602070087861,1.6815556196626253,0.9989999999999999,6.307101951096412,5.779393970266253,10.536604927466753,0.59772260194973
summer,7,2014,7.3644996044886275,1.674316245152313,0.15704885332597993,6.73509022837969,6.073684961930469,16.309028649026274,0.6058249936331519
summer,8,2014,8.975022717460252,2.1263241909959762,0.015718007312728172,7.964314651852172,7.569710335808106,15.463390965183649,0.7487397013461778
autumn,9,2014,6.192252200394349,1.6484295790857748,0.6568290272862682,6.194437252879659,5.614609749117834,11.89092629640508,0.5719436810685433
autumn,10,2014,9.251454136976484,1.9593184393927818,0.0,8.202406193516476,7.673089269045714,19.076527404879013,0.7343413602398796
autumn,11,2014,5.918582520158324,1.4849012866034814,0.8348533959360885,6.184513154690023,5.45890146129615,13.441737993535448,0.5503052406287289
winter,12,2015,10.355923920456025,2.1713025476054213,0.0,9.171244473868127,8.74743114485746,19.827185670602947,0.8043725109697684
winter,1,2015,8.687090912481752,1.5226673180129884,0.8978407244891385,8.726251783173373,7.726535754658448,27.482200397843396,0.6991965873080515
winter,2,2015,9.594988231996977,1.877034290717242,0.0,8.517736170020756,7.893022927557246,22.226806455830225,0.7322160645463
spring,3,2015,7.008860494422775,1.2471263757323365,0.9989999999999948,7.530377387005908,6.223134733206486,27.765115862308004,0.5835793910298002
spring,4,2015,6.94443437968802,1.64965547623975,0.9989999999999999,7.208901571174414,6.559928532495459,14.933159312417054,0.665267153960603
spring,5,2015,9.571664573232823,2.033745022777552,0.0,8.480372772989096,7.993201430892346,19.067696514509944,0.7585685213372129
summer,6,2015,8.25327682610646,1.9558200136747712,0.0,7.3177260939775834,6.8429181793030205,15.232374619398325,0.6851236307696437
summer,7,2015,8.422390541262068,1.6251740574082474,0.057237915207382375,7.598074438252964,6.779141888431008,22.62950087677079,0.6443347877721575
summer,8,2015,7.260975573125477,1.9279075240162917,0.0,6.440310242230468,6.003874526266808,12.108277909428988,0.6139652897728367
autumn,9,2015,6.095518631203382,1.669386314150215,0.9989999999999999,6.444770685809217,5.8929725522577,11.237943156775774,0.6087624174494792
autumn,10,2015,7.708276856078077,1.7524642962281038,0.3892934098157758,7.25386502121298,6.642867907332445,16.347149850152736,0.6624161047776986
autumn,11,2015,9.586190159040498,1.6533443849274432,0.9989999999999999,9.569715248519143,8.679186398795482,28.33002717271421,0.7556498738478225
winter,12,2016,7.133983278772394,1.566112468719489,0.9989999999998946,7.408390520426326,6.644408388127265,17.4942462980316,0.6609091621251035
winter,1,2016,9.73802347295623,1.6294045762367282,0.5424494144067391,9.259286228537926,8.31891117682296,30.094797935307227,0.7208327329867867
winter,2,2016,7.377046703365243,1.4874854294996533,0.6943639652782594,7.360836232870398,6.460347413099651,20.80663086698927,0.6273165315438007
spring,3,2016,6.569298267128004,1.530146406812405,0.9989999999999987,6.915678578411631,6.169032683498549,15.557729429197002,0.6219818920949779
spring,4,2016,7.7209074179083705,2.0547932983549995,0.47723187722502947,7.316950251556529,6.936798122622838,12.17596095443145,0.7160255849624684
spring,5,2016,6.0578559317911616,1.8021219514424964,0.8596214110877404,6.246486117315111,5.802645940847726,9.569496055067182,0.6041437790793982
summer,6,2016,8.473923589198721,2.2692157637667587,0.0,7.506138083563801,7.210068115752944,12.271050260198084,0.7389022896314672
