season,month,year,alpha,beta,gamma,mean,median,variance,prob_btw_5_to_21
winter,all,2013,13.654392998891415,2.0491413871789894,0.0,12.096413013385133,11.41809750522596,38.272858017216734,0.7908923681498727
spring,all,2013,13.400306715852064,2.2112382102514534,0.0,11.867862912390345,11.353516403880922,32.13282110459104,0.8259252219915239
summer,all,2013,10.410775145089875,2.149823008950607,0.06357630961798359,9.283447323499354,8.842520783167929,20.39875341755322,0.8066563607743803
autumn,all,2013,10.562087172277895,1.9285121256797397,0.9989999999999999,10.367234743830164,9.732981414235574,25.605824300134383,0.8249190723995974
winter,all,2014,12.741490104520777,1.9935175038195163,0.9989999999999756,12.29153549944755,11.600666805350803,35.04811302675853,0.8197305705587998
spring,all,2014,10.50579761134358,1.8590466836458897,0.9989999999999992,10.328605119648348,9.62495993916893,27.13379133301427,0.8103797665050774
summer,all,2014,10.278897422446192,1.9057574402877309,0.9989999999999999,10.119245194939172,9.479540898159893,24.7933367023276,0.8188321972494709
autumn,all,2014,10.130491277046358,1.6723031370663899,0.9989999999999992,10.048458307695872,9.135688324269537,30.933703477802958,0.7651820865738713
winter,all,2015,14.878950549953252,2.230304550359883,0.0,13.177972213414662,12.624184417919503,39.013393723634195,0.8001774477228633
spring,all,2015,12.183751140560167,1.953783715203361,0.0,10.802933194468396,10.099761830316574,33.259363880506086,0.7838566593237848
summer,all,2015,10.395766970325736,1.8467360994280384,0.9805840256283402,10.214892870610058,9.504991042563296,26.90347737501692,0.8062566783927398
autumn,all,2015,12.241726642434719,1.714123837339328,0.7575025859666986,11.674093134347734,10.642625969468263,43.03665044346749,0.7562721377527348
winter,all,2016,12.257519843775807,1.7641475907143347,0.9989999999999999,11.910802364895853,10.957069540266897,40.81057667591842,0.7771728185858813
spring,all,2016,9.809685623036335,2.1712777532190057,0.9989999999999999,9.686493772509499,9.285019170938968,17.791085428729602,0.857918721037032
summer,all,2016,10.16447301075756,2.045571518984759,0.9989999999999962,10.003892913939872,9.496098515872166,21.276319689634146,0.8435644062626524
autumn,all,2016,11.495429352571922,2.1247011500334567,0.0,10.1807888192177,9.674064875393256,25.4028354316012,0.8158296090558349
winter,all,2017,12.937441894068241,2.0972441941874624,0.29273862173118964,11.751450769959275,11.155779504600646,32.9410347723883,0.8184845874097966
spring,all,2017,10.848534786480858,2.123364783973433,0.9989999999999961,10.606899572651024,10.127674782722345,22.649933574886962,0.861091478033292
summer,all,2017,10.469685883639821,2.1818412464729033,0.9989999999999999,10.27103627477553,9.849736802480038,20.090068639353262,0.8681308389377184
autumn,all,2017,12.735643478848337,2.274107709107484,0.0,11.2813615827857,10.839933296170031,27.611830277950865,0.8433245588977907
winter,all,2018,12.111297627480917,1.7192293791587405,0.9989999999999681,11.797204614996748,10.78501458961508,41.88125548883028,0.768040067420601
spring,all,2018,9.68863923882593,1.7626468991456568,0.9989999999999999,9.624357152924883,8.868706152003877,25.539024599145307,0.7826354041923235
summer,all,2018,8.648573700979895,2.0553132780323145,0.9989999999999836,8.66048733945257,8.235009034774928,15.27057571171785,0.8108894177902896
autumn,all,2018,10.267458924453353,2.101760463751539,0.474231609041909,9.568004339348231,9.09863503774502,20.66690692596185,0.8225836544726645
winter,all,2019,9.937679008308832,2.0997766688515407,0.46550046227485364,9.267245546541975,8.811522044777664,19.393742160796567,0.8147238034565407
spring,all,2019,8.858029092403363,1.8285194682847876,0.9989999999999989,8.870643001080854,8.248132747174084,19.902912116662467,0.77964711266029
summer,all,2019,9.634930324665314,2.227310388949927,0.4084784954605234,8.941867867845037,8.581519302007733,16.398569204563792,0.821008716372759
autumn,all,2019,8.879982642870882,2.0252288371901694,0.9989999999999977,8.867034210760414,8.408967242772603,16.537852607195283,0.8139399109955016
winter,all,2020,10.769456045878663,2.23339990977035,0.9989999999999994,10.53735807664192,10.138526807938735,20.38842472715974,0.8776584873735247
spring,all,2020,9.546611647905433,1.950550621760377,0.9989999999999972,9.464011803960855,8.910235817257544,20.482450772944535,0.8179381615175619
summer,all,2020,8.8740345272216,1.963962732915565,0.9989999999999999,8.866350321673849,8.362316647222915,17.47516119679033,0.8040305395067494
autumn,all,2020,10.838816767418319,2.253029412488084,0.0,9.600367966239977,9.21155092377813,20.33283370025345,0.8276614510498379
winter,all,2021,8.935803076508577,1.867838464481828,0.9989999999999972,8.932971402336396,8.342701416889266,19.456413776918,0.7890966156359169
spring,all,2021,8.560292090044564,1.8083726629357701,0.9989999999999994,8.6098696859926,7.9888476750276185,18.982902506129548,0.767017278235467
summer,all,2021,8.089673710335484,1.859766744077649,0.8892052215992254,8.073080648694914,7.53187346103981,16.076725950788674,0.7484726085080985
autumn,all,2021,8.480567048840573,2.0489898437934286,0.9989999999999977,8.511932655838446,8.090539003354943,14.765713194269097,0.8038899122586348
winter,all,2022,9.288880909831938,1.799019314033624,0.9989999999999963,9.259696995154188,8.575783715240656,22.573849220756358,0.7839224821230504
spring,all,2022,10.32920358999721,2.3846807559879046,0.0,9.155598320290201,8.857640589642378,16.703228790285834,0.8331868855689787
summer,all,2022,9.584375459975398,2.2384377331878107,0.0,8.4888685045045,8.13680975024148,16.08352951222696,0.7890577215754289
autumn,all,2022,9.841081028493178,2.2097040952265994,0.5089424053677601,9.224584052444234,8.845917123071859,17.351745982269897,0.8316863135981291
