season,month,year,alpha,beta,gamma,mean,median,variance,prob_btw_5_to_21
winter,all,2013,19.298553756908934,2.365257846333655,0.0,17.103493746079874,16.528287414371846,59.150539046412966,0.6649697858645239
spring,all,2013,17.02499960783117,2.0866669346832345,0.9989999999999999,16.078642121648254,15.28153813913457,57.569583166810546,0.7057487482103136
summer,all,2013,14.106415906904077,1.8906089438066098,0.46384728311738227,12.983392394522069,12.084338253230433,47.39742699049887,0.7587198326768386
autumn,all,2013,16.51864427940894,2.1425591537714603,0.9989999999999987,15.628147914574132,14.920390582225107,51.66907928818241,0.7315390542375731
winter,all,2014,18.67969281183362,2.470848145128934,0.0,16.569203824367147,16.104554579385177,51.33613307612419,0.6991838600969814
spring,all,2014,15.715469473560644,1.972905390431453,0.4687526238585263,14.400021390421188,13.519851793358937,54.34897167313366,0.7339104939650422
summer,all,2014,14.655223264526905,2.1324974100160525,0.5883196465440484,13.567366230570899,12.929313220168373,41.0155588371604,0.7938782464136629
autumn,all,2014,14.377136662088107,1.893442806989842,0.998999999999999,13.758177064176744,12.845940367361537,49.096292978412365,0.7607077828991242
winter,all,2015,20.67058063996714,2.400716436007663,0.0,18.32420127375863,17.743927080557707,66.10950582222391,0.6134924370792779
spring,all,2015,16.355528068995692,2.101917691990569,0.0,14.485899993793266,13.738405324289138,52.43483369768437,0.7361995291761587
summer,all,2015,14.844798835233318,2.310066595588215,0.19755018291408938,13.349454665031182,12.864427853847857,36.48698352433131,0.8158894556338264
autumn,all,2015,16.94897676593028,1.7565337915407078,0.8493872623124817,15.941228894660295,14.606425294440415,78.68134950550265,0.661096145407501
winter,all,2016,18.242818716584438,2.1166519757292637,0.8863356100817219,17.043144959642195,16.22864904645127,64.41557174598954,0.6657366624678968
spring,all,2016,13.415130105192437,2.112095288684596,0.9989999999999803,12.880283850346736,12.276986145743367,34.96933968298538,0.8274525433702579
summer,all,2016,14.771870873026716,2.272410381907814,0.0,13.084981065283264,12.571553235535085,37.196289054141005,0.8100975814857038
autumn,all,2016,16.376619427986185,2.2165952260149466,0.0,14.50396111986772,13.880780274928531,47.785068990426055,0.754102303078698
winter,all,2017,16.809929640068223,2.0948758741651083,0.9989999999999999,15.887699666851566,15.110822121134522,55.72637124603149,0.7146565259573636
spring,all,2017,15.805722071056252,2.390252911256821,0.0,14.01045247954997,13.558797119662033,38.95074653694547,0.7989950709844726
summer,all,2017,14.868592433776728,2.361714649577165,0.9989999999999997,14.176088744735068,13.730277552284825,35.2041838643208,0.822560479393188
autumn,all,2017,18.223790934932897,2.460109020425635,0.0,16.163221769947587,15.701331929945995,49.23375950477362,0.7169909924150777
winter,all,2018,19.064041729428126,2.1799091411015232,0.0,16.88324489173668,16.11373039802101,66.71652187427823,0.6564492646007908
spring,all,2018,15.075217417387783,1.9352787925929402,0.3272168307235207,13.697173338052872,12.801473936408106,51.825121477811244,0.7431164161744813
summer,all,2018,14.547744267841882,2.0662922065557,0.0,12.886615448202257,12.183210895561135,42.790511797515805,0.777552771082616
autumn,all,2018,18.246155659875036,2.517994594072059,0.0,16.19206260330299,15.774535140220896,47.394364417830054,0.7217391366597838
winter,all,2019,16.262018957604433,2.1541768742748255,0.9989999999999999,15.40074236450603,14.71676454928256,49.591448811839754,0.7426378126428949
spring,all,2019,15.559441300499339,2.0222747612180987,0.9989999999999881,14.785620749978923,13.979259036241242,50.909967792271694,0.7480405371887499
summer,all,2019,14.477967847010541,1.8972068634597066,0.828237717188601,13.676064134725976,12.76284675083273,49.60275742330869,0.7567788653697626
autumn,all,2019,16.36793993978863,2.208698049649354,0.2793806979084246,14.775434741321769,14.144604642360424,48.03953533924011,0.7521085382601951
winter,all,2020,19.42515681570697,2.5538486329968357,0.9989999999999674,18.243794805604832,17.827182539042454,52.41371903063951,0.6420130729799352
spring,all,2020,16.716102454171722,2.26000963140719,0.022978475002441715,14.829456317279911,14.236579234035805,48.09690661121609,0.7492092144161473
summer,all,2020,13.608596424977451,1.7230136815434904,0.9989999999999999,13.13046891798963,11.999992373109935,52.65116518305029,0.7422635775241996
autumn,all,2020,17.617479558864993,2.1806851911382075,0.0,15.602166957031287,14.891926187570553,56.93954927253518,0.7071687085009578
winter,all,2021,15.823309284597103,1.6707003303504027,0.7123171675450714,14.848118281528158,13.418736272375288,75.61123856394252,0.6733908851069654
spring,all,2021,14.022603613822005,2.0047124877433533,0.9989999999999999,13.425683940179514,12.678613581515949,42.01596324317246,0.7919494714945408
summer,all,2021,11.811462058510635,1.500022072482543,0.9989999999999974,11.66172276396616,10.25000384368973,52.41118210113536,0.7106629812541343
autumn,all,2021,15.985718946761263,2.2269657330088592,0.9989999999999999,15.157093841570994,14.558891102281212,45.15365739096195,0.7626837278654406
winter,all,2022,18.331409528219996,2.43111530485703,0.24232571143367648,16.49687680933334,16.00834251222076,50.86008143936515,0.7045314036655004
spring,all,2022,16.050100107195515,2.3512276921634556,0.0,14.223198335648846,13.733437845904199,41.343976138949714,0.7852287384982092
summer,all,2022,15.05350901725403,2.2220372302402893,0.0,13.332305930951026,12.764483351128746,40.19939584231629,0.7942293891630798
autumn,all,2022,16.46357157464486,2.1618920790283083,0.875568604204081,15.455766224644568,14.771787121841816,50.502945546574686,0.7374523609210145
