season,month,year,alpha,beta,gamma,mean,median,variance,prob_btw_5_to_21
winter,12,2013,8.807318836970245,1.9367613068430436,0.9989999999999847,8.809902678713394,8.28782937061957,17.663761817905456,0.7975138173052855
winter,1,2013,8.573611269610689,1.7793640405033648,0.0,7.6288235435357,6.977629885418414,19.63956607649693,0.6744878099881788
winter,2,2013,8.258675697505792,1.9009950068963866,0.0,7.3283233463129465,6.8104873240445265,16.080228072852442,0.6775555299944407
spring,3,2013,8.946126392950005,1.6963345436943058,0.6922306545050574,8.675544313141076,7.89999579145978,23.456923045977756,0.7306552217725283
spring,4,2013,9.204313436373416,1.7106662395405408,0.6581719229223144,8.8672276097849,8.087390337782946,24.425594443523078,0.7378018737428921
spring,5,2013,8.558467975994725,1.9295615509136739,0.41863488441300106,8.009608620858062,7.496518796417469,16.79546985482981,0.7368756286768512
summer,6,2013,7.69337480324232,2.119178560751654,0.0,6.813622491670462,6.471507480878369,11.431555294656684,0.6692652295982093
summer,7,2013,5.821253107831237,1.5004373430888225,0.8153337999195119,6.0702571139188155,5.374979039731405,12.723274832503622,0.5421114052119285
summer,8,2013,6.709470399729679,1.8225230841124374,0.9989999999999972,6.962198060141727,6.486199877479794,11.490142636793896,0.676551199484559
autumn,9,2013,7.458258564968625,1.5494730898571554,0.4084948603300726,7.116646621970478,6.295701272860716,19.542494913104836,0.6159813358181354
autumn,10,2013,7.839155707934629,2.0247838109733207,0.2883686122112156,7.234209982335523,6.829549927489237,12.893418109260702,0.6991859024730256
autumn,11,2013,6.08321326497604,1.3750879998853527,0.998999999999965,6.559540443489873,5.65890592872911,16.747148324941605,0.564165079994963
winter,12,2014,8.649216922653435,1.9246462336500119,0.0,7.672012505781458,7.1494645717287915,17.235085649054103,0.7018748546004349
winter,1,2014,7.132796299008699,1.658136834886786,0.9989999999999949,7.374769025474963,6.717258709668847,15.595012298392142,0.6775603368135941
winter,2,2014,9.754458006774277,2.226834271602766,0.19187687005122708,8.831118400404858,8.466018537064967,16.814368847831236,0.8085645881893736
spring,3,2014,8.411425545811108,1.8081185772227257,0.8538947849992384,8.332458075251871,7.721990893639301,18.33330984807227,0.749261261403747
spring,4,2014,6.978618883830883,1.669319347758162,0.44734496511579824,6.682101152426565,6.050292070303348,14.731223775438904,0.6102166583723908
spring,5,2014,6.5149821662389,1.765880075590314,0.8060787685858928,6.605487292136963,6.099961322268802,11.507314621683436,0.6310282369186433
