season,month,year,alpha,beta,gamma,mean,median,variance,prob_btw_5_to_21
winter,all,2013,8.947193637655262,1.8813003015222352,0.04622060901925851,7.988257161941185,7.409614760941338,19.24473338130581,0.7127340853039716
spring,all,2013,8.811471745654718,1.7572637133726963,0.6544710096770991,8.500267058067811,7.807130444613744,21.248779199313997,0.7363163519415852
summer,all,2013,7.025584207302349,1.8776357125377294,0.3511454793505028,6.587879825789642,6.130888429316855,11.909455546280403,0.6304247889709231
autumn,all,2013,7.021141925484576,1.5864701631462357,0.690359683599801,6.990354164561713,6.263182542457482,16.50680126878359,0.6260908275516183
winter,all,2014,8.306445761929282,1.847113327990851,0.5892796093765994,7.967634045286028,7.400743809445613,17.16952512057987,0.7278160429378712
spring,all,2014,7.398007840355056,1.7487826583400365,0.5961016093061915,7.185164353220251,6.5953188962035005,15.11889425809057,0.6651047722458455
summer,all,2014,7.158185889527652,1.7900734130699487,0.656923750834204,7.0243403744658375,6.489793731463954,13.533826635692314,0.6629022073002824
autumn,all,2014,6.202056209041528,1.4521768389346172,0.741708496235652,6.36406957659243,5.560351024624294,15.471338046790178,0.5565453762392403
winter,all,2015,9.529931646901122,2.0481271136659966,0.0,8.442608545572524,7.968428250778531,18.6602573451109,0.7593342722301047
spring,all,2015,8.226997614293433,1.850605305770189,0.0,7.307230561014415,6.748841405534884,16.782706185133545,0.6682662748912003
summer,all,2015,7.111253678543881,1.7537523095515068,0.45374741100825,6.786376396454241,6.22385488484988,13.89326239764332,0.632003142389814
autumn,all,2015,7.5997564047393285,1.5729766292444056,0.4325949356111734,7.257455634519529,6.4527332837501294,19.67736635103056,0.6299862271794123
winter,all,2016,8.294503917181634,1.7336144066936745,0.17560709541204553,7.566973958507221,6.889491206261419,19.328199005059204,0.6692807371583471
spring,all,2016,6.412513685680223,1.7416986063671793,0.9123714835638044,6.625063296272893,6.10799771986341,11.448653061210582,0.6328537662780143
summer,all,2016,6.767852622453471,1.8322795955354478,0.6821282873619157,6.695813730192903,6.223004984557514,11.573196906385697,0.6441842871133288
autumn,all,2016,6.138129766222098,1.6042570095731852,0.5008859113573799,6.002837376868072,5.385339269207873,12.335415150107298,0.5437047894220569
winter,all,2017,7.371275492034449,1.6684165113381135,0.5121909666723277,7.098017476660644,6.429688495354842,16.453131787555687,0.6419273491893507
spring,all,2017,6.672200321856337,1.64485979147082,0.9989999999998993,6.966855643194699,6.338470495456702,13.865184411694635,0.6474534694642073
summer,all,2017,7.222782405602386,2.1412577143710463,0.0,6.396608707040191,6.086499558518257,9.889309650491976,0.6344234643749695
autumn,all,2017,7.455289274483523,1.806772127756307,0.28593566763267325,6.9146348059483564,6.372408019483583,14.422711395996036,0.644300804245546
winter,all,2018,7.719817801591412,1.654473298795372,0.7928196034866624,7.694498892045563,6.978656477838181,18.34770631070554,0.6859387010762994
spring,all,2018,6.483609739419014,1.458023890800958,0.803542501860363,6.677921775886757,5.846037147043826,16.764286742561616,0.5831315087536235
summer,all,2018,6.091717275702566,1.7125047803143145,0.6332081243788775,6.0658477139850655,5.551240263966559,10.676584222604559,0.5677217041537488
autumn,all,2018,7.562284304072832,2.0042535508005743,0.025124105987276178,6.7267681054919155,6.323587885078909,12.224905054898148,0.6487676012014911
winter,all,2019,7.636698596452518,1.9197012182094977,0.0,6.774391256573767,6.309418596957508,13.500522006619764,0.6408451549904435
spring,all,2019,7.01934430695467,1.6368018283353105,0.6889483345114127,6.9698229296011895,6.300064469030586,15.496080748124752,0.6340876069556074
summer,all,2019,7.1201937705034855,1.9997679111253084,0.43054838480903673,6.740669190110297,6.358372464335441,10.882022614312566,0.6621542025082461
autumn,all,2019,6.87259063824495,1.8541757680939404,0.0,6.103780183101158,5.639933135565497,11.669197766295325,0.5740424558875293
winter,all,2020,8.242814838652972,1.949344394183857,0.3145971257471054,7.623640300263564,7.144587983013407,15.287343457650644,0.7146885054606109
spring,all,2020,7.336623044630499,1.8085627110041007,0.4255110337060676,6.948396699984,6.416307747839593,13.940904378399757,0.6518281664652918
summer,all,2020,6.932564403704783,1.8537904448014026,0.33503713666050317,6.492132209736552,6.02395348892547,11.878404165995875,0.6183914747262417
autumn,all,2020,7.663280632761536,1.9525090543009926,0.0,6.794888181921459,6.35172455534685,13.173645106711746,0.6468569315090018
winter,all,2021,6.09357137249582,1.5317246653874055,0.9989999999999999,6.486581267797098,5.795819715789766,13.357616787183801,0.5894823381601046
spring,all,2021,5.977897402599849,1.6479977938054757,0.8485275756461876,6.194554549867622,5.634407913487334,11.087690253169816,0.5773055338349865
summer,all,2021,5.6348363345503625,1.6093856291699014,0.5907172723015441,5.640083333713944,5.07793757168346,10.329011559243611,0.5093719676036728
autumn,all,2021,6.060739872674631,1.8054566933508847,0.5987494357905668,5.987702832479128,5.54598523953558,9.54491087350019,0.5703829756201987
winter,all,2022,6.530592229809677,1.4933163028922003,0.5686645768807896,6.467345639928649,5.677962870350462,16.172797376015176,0.5668592754549434
spring,all,2022,7.061256764366951,2.093076572685894,0.0,6.254255291251496,5.926985755659531,9.848473361922752,0.6153103239155653
summer,all,2022,5.836935642228827,1.765951820870954,0.7102300692734345,5.906053810292984,5.45319198880267,9.235988886248299,0.5594982712239222
autumn,all,2022,6.981571117033429,1.6097746384756646,0.1260899221601115,6.3821270284233185,5.686068933840072,15.848630786934338,0.567855326270293
