date,wdsp
01-01-2012 00:00,18
01-01-2012 01:00,21
01-01-2012 02:00,21
01-01-2012 03:00,19
01-01-2012 04:00,19
01-01-2012 05:00,20
01-01-2012 06:00,23
01-01-2012 07:00,24
01-01-2012 08:00,21
01-01-2012 09:00,17
01-01-2012 10:00,16
01-01-2012 11:00,14
01-01-2012 12:00,16
01-01-2012 13:00,17
01-01-2012 14:00,18
01-01-2012 15:00,20
01-01-2012 16:00,12
01-01-2012 17:00,12
01-01-2012 18:00,15
01-01-2012 19:00,10
01-01-2012 20:00,11
01-01-2012 21:00,11
01-01-2012 22:00,13
01-01-2012 23:00,17
02-01-2012 00:00,17
02-01-2012 01:00,19
02-01-2012 02:00,11
02-01-2012 03:00,14
02-01-2012 04:00,16
02-01-2012 05:00,16
02-01-2012 06:00,15
02-01-2012 07:00,14
02-01-2012 08:00,11
02-01-2012 09:00,14
02-01-2012 10:00,16
02-01-2012 11:00,15
02-01-2012 12:00,15
02-01-2012 13:00,12
02-01-2012 14:00,16
02-01-2012 15:00,16
02-01-2012 16:00,18
02-01-2012 17:00,14
02-01-2012 18:00,10
02-01-2012 19:00,12
02-01-2012 20:00,21
02-01-2012 21:00,24
02-01-2012 22:00,29
02-01-2012 23:00,30
03-01-2012 00:00,35
03-01-2012 01:00,39
03-01-2012 02:00,40
03-01-2012 03:00,40
03-01-2012 04:00,38
03-01-2012 05:00,35
03-01-2012 06:00,31
03-01-2012 07:00,19
03-01-2012 08:00,18
03-01-2012 09:00,16
03-01-2012 10:00,18
03-01-2012 11:00,23
03-01-2012 12:00,25
03-01-2012 13:00,24
03-01-2012 14:00,21
03-01-2012 15:00,20
03-01-2012 16:00,17
03-01-2012 17:00,21
03-01-2012 18:00,19
03-01-2012 19:00,21
03-01-2012 20:00,18
03-01-2012 21:00,18
03-01-2012 22:00,19
03-01-2012 23:00,15
04-01-2012 00:00,13
04-01-2012 01:00,14
04-01-2012 02:00,19
04-01-2012 03:00,13
04-01-2012 04:00,14
04-01-2012 05:00,12
04-01-2012 06:00,12
04-01-2012 07:00,12
04-01-2012 08:00,12
04-01-2012 09:00,16
04-01-2012 10:00,15
04-01-2012 11:00,17
04-01-2012 12:00,22
04-01-2012 13:00,21
04-01-2012 14:00,22
04-01-2012 15:00,23
04-01-2012 16:00,24
04-01-2012 17:00,27
04-01-2012 18:00,24
04-01-2012 19:00,27
04-01-2012 20:00,29
04-01-2012 21:00,30
04-01-2012 22:00,29
04-01-2012 23:00,28
05-01-2012 00:00,28
05-01-2012 01:00,23
05-01-2012 02:00,21
05-01-2012 03:00,22
05-01-2012 04:00,23
05-01-2012 05:00,30
05-01-2012 06:00,32
05-01-2012 07:00,34
05-01-2012 08:00,33
05-01-2012 09:00,30
05-01-2012 10:00,32
05-01-2012 11:00,32
05-01-2012 12:00,31
05-01-2012 13:00,23
05-01-2012 14:00,22
05-01-2012 15:00,23
05-01-2012 16:00,27
05-01-2012 17:00,21
05-01-2012 18:00,13
05-01-2012 19:00,12
05-01-2012 20:00,12
05-01-2012 21:00,11
05-01-2012 22:00,10
05-01-2012 23:00,12
06-01-2012 00:00,13
06-01-2012 01:00,10
06-01-2012 02:00,7
06-01-2012 03:00,7
06-01-2012 04:00,6
06-01-2012 05:00,3
06-01-2012 06:00,3
06-01-2012 07:00,3
06-01-2012 08:00,5
06-01-2012 09:00,6
06-01-2012 10:00,4
06-01-2012 11:00,5
06-01-2012 12:00,9
06-01-2012 13:00,12
06-01-2012 14:00,12
06-01-2012 15:00,12
06-01-2012 16:00,14
06-01-2012 17:00,11
06-01-2012 18:00,16
06-01-2012 19:00,17
06-01-2012 20:00,12
06-01-2012 21:00,14
06-01-2012 22:00,16
06-01-2012 23:00,16
07-01-2012 00:00,15
07-01-2012 01:00,11
07-01-2012 02:00,10
07-01-2012 03:00,17
07-01-2012 04:00,20
07-01-2012 05:00,21
07-01-2012 06:00,15
07-01-2012 07:00,11
07-01-2012 08:00,13
07-01-2012 09:00,11
07-01-2012 10:00,9
07-01-2012 11:00,12
07-01-2012 12:00,9
07-01-2012 13:00,9
07-01-2012 14:00,9
07-01-2012 15:00,11
07-01-2012 16:00,10
07-01-2012 17:00,10
07-01-2012 18:00,9
07-01-2012 19:00,8
07-01-2012 20:00,9
07-01-2012 21:00,8
07-01-2012 22:00,9
07-01-2012 23:00,10
08-01-2012 00:00,5
08-01-2012 01:00,4
08-01-2012 02:00,5
08-01-2012 03:00,5
08-01-2012 04:00,6
08-01-2012 05:00,5
08-01-2012 06:00,8
08-01-2012 07:00,8
08-01-2012 08:00,10
08-01-2012 09:00,9
08-01-2012 10:00,7
08-01-2012 11:00,10
08-01-2012 12:00,10
08-01-2012 13:00,10
08-01-2012 14:00,11
08-01-2012 15:00,15
08-01-2012 16:00,12
08-01-2012 17:00,9
08-01-2012 18:00,7
08-01-2012 19:00,9
08-01-2012 20:00,10
08-01-2012 21:00,10
08-01-2012 22:00,8
08-01-2012 23:00,10
09-01-2012 00:00,11
