season,month,year,alpha,beta,gamma,mean,median,variance,prob_btw_5_to_21
winter,12,2013,22.078737937736452,2.613992832363326,0.0,19.613729081308147,19.190265665928923,65.03549915795435,0.5636889668199347
winter,1,2013,19.38205794362058,2.5904244750078247,0.8488980803031474,18.062370979910376,17.673802558058473,50.910726763684224,0.6508398009454535
winter,2,2013,15.070823898566916,2.2429173390407406,0.0,13.348386558083472,12.798803170453366,39.62620079513404,0.7973579335482085
spring,3,2013,17.249458962103322,2.190682217394131,1.9989999999999994,17.275372555785314,16.59102867704168,54.14029201324174,0.6879981771424665
spring,4,2013,18.62559051524477,2.444619578101976,0.0,16.517316047297047,16.032374865648638,51.9993599872485,0.6990194807318647
spring,5,2013,15.065117313301029,1.7929531583946607,0.998999999999998,14.398787987739885,13.278895215825175,59.76200702573189,0.7216366072208475
summer,6,2013,15.345296687826703,2.206134146729097,0.0,13.59030344990764,12.996439845929228,42.3118810190943,0.7835753495628617
summer,7,2013,11.418970579368798,1.6962102886160584,0.9989999999999982,11.189073386044612,10.198954455241964,38.22233082367288,0.7694542032509558
summer,8,2013,15.426312507657354,1.95666814491247,0.38717545411716686,14.064695156828101,13.178406305776452,53.17294559203766,0.7385866029577854
autumn,9,2013,15.668466923136181,1.8842929934975046,0.9989999999982192,14.906454519714753,13.897882750729533,58.84328141878932,0.7213476459000308
autumn,10,2013,15.929420984883293,2.3255946036894533,1.7871188795016673,15.901164163284301,15.393897751743685,41.519311472704906,0.7630940385726322
autumn,11,2013,17.840037080625816,2.282992621678646,0.22439388861183723,16.027880653981214,15.418455115673769,53.807461328082546,0.7091449377043549
winter,12,2014,18.884883923202896,2.5117327075767095,0.0,16.757826137080965,16.320817786257315,50.99103275595937,0.6940963414803681
winter,1,2014,16.490234642233066,2.114330318603471,0.9989999999999999,15.603708554985232,14.864743712576212,52.73773545985157,0.7289138963359734
winter,2,2014,19.210302568993598,2.54500512434818,0.5228903902573244,17.575337613059936,17.15664567899744,51.57027736673108,0.6673787218025822
spring,3,2014,19.58272096980659,2.52878038554107,0.0,17.380080838922634,16.94056359777771,54.18791192064796,0.6655962621186471
spring,4,2014,14.665342831022514,2.1282514308236555,0.0,12.988099764873626,12.345281335259887,41.220051101447915,0.7868790456499789
spring,5,2014,12.91650422915736,1.8613221147230279,1.09196759628756,12.56184913508306,11.69983464652701,40.920582078885694,0.7908290627658137
summer,6,2014,11.445314292721141,1.854865799496901,0.9989999999999996,11.163822790677857,10.392190668527197,32.34080160742797,0.8074929009631377
summer,7,2014,14.411416852200466,2.2537522957410916,0.2032054339225164,12.967998013771648,12.4516297690633,35.92525751673142,0.8178994377005564
summer,8,2014,15.1591435174071,2.467489916786337,2.9989999999999997,16.445000187259147,16.065701675813074,33.889388494658554,0.7762967445696252
autumn,9,2014,13.537178281153187,1.9987505565795094,0.0,11.997149263838573,11.269149179075072,39.37206693907393,0.7820753399030167
autumn,10,2014,17.583228454205923,2.0515487067069387,0.9989999999999969,16.57574183311275,15.705560606069133,63.33066511259045,0.6813185290905256
autumn,11,2014,12.201197436700634,1.8040747057606796,1.9989999999999999,12.848183686588916,11.956994571518882,38.73997428845505,0.8152401136415959
winter,12,2015,20.36740642337769,2.552413220643078,0.0,18.08100379156368,17.64303757861012,57.678124371286785,0.6334516570001861
winter,1,2015,21.69123812045564,2.316378035347568,0.0,19.2182310466481,18.516860147252533,77.528991143627,0.571700483613619
winter,2,2015,19.860797294675212,2.395477352656813,0.0,17.60563157216424,17.043105697633194,61.26555229456859,0.6450553393609316
spring,3,2015,16.740379691423897,1.89530267404731,0.0,14.855988678853791,13.79690265080711,66.44109982882983,0.6886343683485237
spring,4,2015,14.729592844716327,1.9144501584054476,0.0,13.067437678519761,12.163176421445934,50.482025839899485,0.7420790351539281
spring,5,2015,17.449434894902165,2.7528679627501935,0.0,15.52808327402727,15.274254335194767,37.15464148753984,0.7792908477963432
summer,6,2015,15.595275079551783,2.3371632527779704,0.0,13.818924715840598,13.331750229332311,39.44885472608563,0.7976331032832626
summer,7,2015,13.263797042682404,1.8376339896888079,1.9989999999999999,13.783306012550195,12.864471692042354,44.20667240684896,0.7926142645419552
summer,8,2015,13.1563253181085,2.0495524257653437,0.9868267799751622,12.641973419521028,11.98882400670828,35.51865675021025,0.8218318488618839
autumn,9,2015,11.755445352835217,1.5844177907140191,1.9989999999999961,12.548343681032332,11.326743777046442,46.39413982344964,0.7737600244238544
autumn,10,2015,16.17312437477609,1.9731893939449394,0.0,14.33692059949487,13.431523278527274,57.54520621802514,0.7186191100448205
autumn,11,2015,22.471292794194298,2.836964573395905,0.0,20.01971307048473,19.747890817490255,58.51756246170616,0.5478843782769435
winter,12,2016,18.653060690755105,2.4564054506127055,0.9989999999999999,17.542401876710457,17.066574444608257,51.71641193387988,0.6723203324829868
winter,1,2016,19.84441920231836,2.0790360603557443,0.0,17.577449690166922,16.637064137275257,78.73757085825721,0.6199667088591341
winter,2,2016,17.36399775839847,2.0297743615534958,0.4575917001640506,15.842303812417939,14.952981602221353,62.975816689574124,0.6913897554303614
spring,3,2016,11.511563533655924,1.977570863762326,1.9989999999999999,12.203121970876847,11.563106103216306,29.034456506307873,0.8647467974810457
spring,4,2016,16.61013143268198,2.496141395424899,0.0,14.737012144143801,14.341838602232928,39.87668937943235,0.7852615143786802
spring,5,2016,12.524479249019095,2.0959397320555837,0.5763885882541949,11.669387589856102,11.091537873703013,30.90644291173927,0.8316330152455738
summer,6,2016,14.838399406108092,2.284213800706602,0.0,13.144576006355779,12.638701322530137,37.188919801165824,0.8104082828421431
summer,7,2016,14.946008956995183,2.3919738162371216,0.24387358403623985,13.492433144946949,13.066588005186972,34.78475530694903,0.8258785561623871
summer,8,2016,14.060563958223353,2.3568267263908864,0.0,12.460577423609411,12.035526406475656,31.596830898343214,0.8400396347474055
autumn,9,2016,16.048047496499432,2.1354006261437464,0.451042634815378,14.663549523480759,13.968075483645267,49.061807173941624,0.7509779368548246
autumn,10,2016,15.797704330356616,2.4375626466126756,0.0,14.008670022469408,13.592310429717902,37.59768526099902,0.8061045598830013
autumn,11,2016,16.76755535062271,2.050864288469448,0.0,14.854207995621357,14.02349791317437,57.626251079425394,0.7151701361723474
winter,12,2017,17.544169497062462,2.197466384531942,0.9967739378075569,16.534270901527726,15.84577818514031,55.697164114763424,0.6984576602324561
winter,1,2017,15.205044668927984,1.9420049707808167,0.998999999999993,14.482862950007512,13.588940508277933,52.38325864482867,0.7457847883636874
winter,2,2017,18.063237044407234,2.464837109828644,0.44766293349050446,16.46917365501723,16.015112389850433,48.20820175055929,0.7141570878942585
spring,3,2017,16.69252946749412,2.2931171999144784,0.0,14.78766213798061,14.226828860007084,46.7402832772351,0.7549355187266866
spring,4,2017,16.72742448803667,2.660775203434265,0.0,14.868161800126204,14.574929405156567,36.20362094490052,0.800431810175564
spring,5,2017,13.979587634032862,2.401963059292972,0.0,12.392842541147461,12.00123224251337,30.210079582805996,0.848745300174748
summer,6,2017,16.292434028881317,2.3941476349314463,0.9989999999999836,15.441305227438416,14.978805341972821,41.268442012161366,0.7707611943582361
summer,7,2017,15.348331101136019,2.6041986769268126,0.3032266862925033,13.936430543389369,13.636564660671818,31.63331648628145,0.8420183816156199
summer,8,2017,13.755201285179883,2.3264492555925824,0.9989999999999999,13.186667653853968,12.749258771345174,30.938725142999164,0.853325275433023
autumn,9,2017,16.399760877867447,2.3276242359597243,0.0,14.530953764713493,14.010464524887304,43.93964441353889,0.7699882302935503
autumn,10,2017,18.48817671224189,2.42151671066458,0.0,16.392247648699257,15.891345810361543,52.09318291734342,0.7024156260029488
autumn,11,2017,19.724481747764635,2.788269936345363,0.0,17.560900859738414,17.29491355366382,46.4442911479633,0.674509406484648
winter,12,2018,17.181101019853084,2.1282514193207547,0.4890473430601112,15.705183555619788,14.952093177454216,56.57519675188135,0.7108668405226903
winter,1,2018,20.980669224085258,2.3765851472174466,0.0,18.59575371493734,17.982214766668132,69.32659905214159,0.6003736211326326
winter,2,2018,17.929365560048826,2.125948462948893,0.1550034936483366,16.033893029164737,15.24512284921638,61.730798092840146,0.6877617624231009
spring,3,2018,18.480901841062405,2.089352747011185,0.652470041905009,17.02148865392577,16.159888296098988,67.6787785869799,0.6580943224277293
spring,4,2018,15.04656983543375,2.1885114792600073,0.0,13.325432970996866,12.726401841944638,41.2681731252381,0.788537740811543
spring,5,2018,12.205174678887314,2.1426207181916395,0.0,10.809076756398769,10.28618548308349,28.206386929346426,0.8218140753209654
summer,6,2018,14.709390692903636,1.892634969630035,0.0,13.054224367033827,12.119720449557525,51.432789605641155,0.7377168060492977
