season,month,year,alpha,beta,gamma,mean,median,variance,prob_btw_5_to_21
winter,all,2013,13.61745825571595,1.7168735300839777,0.9989999999999999,13.141140123149807,11.998784890563195,53.0871594210328,0.7406023652701246
spring,all,2013,13.369444323109194,2.2470983791110166,0.9989999999993152,12.84061198608849,12.356369810504614,31.08109484132145,0.8512989674715149
summer,all,2013,11.365148981385742,1.9643754891226428,0.9989999999999997,11.074820407641422,10.429712942423425,28.65237499470411,0.8312419961678712
autumn,all,2013,12.913293820720801,1.9742547977272777,0.4236054886323309,11.870664334111005,11.148966227478297,36.649071132078426,0.7976079249295978
winter,all,2014,14.565194517885741,1.8320721164997091,0.9989999999999999,13.94120306949476,12.92333157396207,53.61388868522942,0.7432045901157193
spring,all,2014,11.706830646545631,1.7863841477132651,0.9989999999999999,11.413656331006427,10.53431443940765,36.341884330474024,0.7893447154334197
summer,all,2014,11.554360036894098,1.7781829544573438,0.9989999999999993,11.280459421416698,10.401224560868243,35.71486302564111,0.7888054057689178
autumn,all,2014,12.404777161823697,1.8782906583366314,0.9989999999999996,12.010802439308184,11.204742522891932,37.10399640301938,0.8014153252800331
winter,all,2015,15.82207580273412,1.935234731125384,0.9989999999999996,15.031341220956953,14.091201923709404,57.089789421179425,0.7252563463414636
spring,all,2015,12.249041460870632,1.9845200041259954,0.9989999999999999,11.856052486352343,11.182428648630912,32.66200364785108,0.8261995563880965
summer,all,2015,12.445284601904385,1.8874599357656108,0.6529842295629771,11.698883289981797,10.901764001046805,37.00725560421303,0.7919465479505422
autumn,all,2015,13.293675918422606,1.798160883822058,0.9989999999991073,12.82147697132231,11.841372985265359,46.27693773657428,0.7666200095938039
winter,all,2016,13.620422088822398,1.8006903024368202,0.9989999999999978,13.111235998520977,12.111049491847968,48.44965025810733,0.7600103234207151
spring,all,2016,11.80205473537686,1.9677521369674793,0.8082520818594888,11.271006135282727,10.604642052894288,30.799813937750642,0.8214053824038499
summer,all,2016,11.78742472309878,1.967320159144623,0.9989999999999128,11.448835769132847,10.782846061376926,30.735958399235894,0.8284716727049402
autumn,all,2016,11.288856704383141,1.7821593330802301,0.9989999999999998,11.043037458531314,10.189399949366237,33.946716825868,0.7917335320708374
winter,all,2017,13.3660316205425,1.8004835743607137,0.9989999999999951,12.885080079645094,11.903253401862768,46.66697006964562,0.7656061719595234
spring,all,2017,13.058818660008955,2.1504179686823965,0.0,11.564995900139094,11.012441431864845,32.07961752688989,0.8186433010265906
summer,all,2017,11.265967817370203,1.8790486436345522,0.7656376734643843,10.766369256405426,10.035180846927554,30.58094836207218,0.803456616063244
autumn,all,2017,14.580301862300702,1.9861049251108884,0.0,12.923179386018813,12.123344379253366,46.20972544293012,0.7605379495747353
winter,all,2018,14.233233611570355,1.8335728885083717,0.9989999999999972,13.645790068489527,12.653467766336886,51.11851812923258,0.752266336829163
spring,all,2018,10.627842002390548,1.6911072515293892,0.9989999999999999,10.485073095268737,9.55598242455744,33.30556414482665,0.771303160122492
summer,all,2018,11.894631187016277,2.0752306358812067,0.18609705109365152,10.722096162564398,10.155034817042376,28.38256818781558,0.8170934541912325
autumn,all,2018,13.058848717240153,1.999528074213638,0.9989999999999847,12.57215325965664,11.870734482276559,36.61267404226482,0.8145389020346936
winter,all,2019,14.411010260468025,1.950852122608074,0.2885230596097924,13.066764201751011,12.231211796119192,46.66034744493746,0.7617570316577718
spring,all,2019,13.223201122929636,1.9539396429661295,0.47711858657250655,12.20167531227283,11.43870010006412,39.17066674158022,0.7899659079749709
summer,all,2019,12.476891048662958,2.067874483346999,0.9989999999999999,12.051135028624673,11.449364313786843,31.431458823876305,0.8387866706859446
autumn,all,2019,14.371319718138713,2.0806410124131562,0.0,12.729494515074506,12.05019311954659,41.23730995529865,0.7841590340141731
winter,all,2020,16.41912451908914,1.9218452285222853,0.2926761091364999,14.857344156590262,13.860999593843514,62.2783077510065,0.7036361595385051
spring,all,2020,12.507850943687657,1.9435194140081442,0.9989999999999999,12.090763057111944,11.35715828543536,35.39604594333625,0.8137184088975198
summer,all,2020,13.421053938742897,2.0726700328047922,0.0776707822726516,11.965880492256245,11.32345554867693,36.21569949044455,0.801170614860708
autumn,all,2020,13.756063466314696,1.6722209536609565,0.9989999999999984,13.28718763433361,12.04758514068501,57.042861695356656,0.7267732436071974
winter,all,2021,13.245935549383299,1.864548058535095,0.9989999999999998,12.760648284311827,11.881124043171825,42.89447964191256,0.7824972190442361
spring,all,2021,12.655606735951245,1.931972527026588,0.5692690348988777,11.793833798993365,11.03798270733271,36.64023933059915,0.7964064103528697
summer,all,2021,12.05573060678838,2.0372163482408494,0.0,10.680970246956939,10.070712186561492,30.154878090933558,0.8014921661013423
autumn,all,2021,11.73056417149396,1.72058139422205,0.9989999999999999,11.457224115721736,10.47896718352113,39.22943047320109,0.772882801903124
winter,all,2022,13.3543690580833,1.644038435019964,0.9989999999999931,12.944109862944362,11.684728657079711,55.598765241935524,0.7279125181179096
spring,all,2022,12.746685509891423,2.3048884044374014,0.0,11.292754816601917,10.872708090667539,27.00890498034147,0.8483606643085534
summer,all,2022,12.21994983612042,1.8413245088386392,0.998999999999999,11.854987306484276,11.013372663297517,37.380296959546804,0.7959172830592621
autumn,all,2022,15.030001657658053,1.827606988624969,0.3877702399964425,13.744395765942217,12.686620569324738,57.3550330242565,0.7225208683232824
